iter	MultiClass
440	0.03413812926
441	0.0340121046
442	0.0339182964
443	0.03381583755
444	0.03370443567
445	0.03359332987
446	0.03349562662
447	0.03339811803
448	0.03331193039
449	0.03323116852
450	0.03315148986
451	0.03307660732
452	0.03294706921
453	0.03284994381
454	0.03275817068
455	0.03265504665
456	0.03253222729
457	0.03244794831
458	0.03238552285
459	0.03231426746
460	0.03221139017
461	0.03211666301
462	0.03202210446
463	0.03191856628
464	0.03187193271
465	0.03179003172
466	0.03173923212
467	0.03168229069
468	0.03162434351
469	0.03157383337
470	0.03147938459
471	0.03140249665
472	0.03134974952
473	0.03126424426
474	0.03115055531
475	0.03107460742
476	0.03098383052
477	0.03092785465
478	0.03085033526
479	0.03077914935
480	0.03069838408
481	0.03061485266
482	0.03056478884
483	0.0304933768
484	0.03041000608
485	0.03031750636
486	0.0302340734
487	0.03012876264
488	0.03005240119
489	0.02998552357
490	0.02993614222
491	0.02986037916
492	0.02977281855
493	0.02971073379
494	0.02958875875
495	0.02953280968
496	0.02947511202
497	0.02940340558
498	0.02933523392
499	0.02923281309
500	0.02915855212
501	0.02907821691
502	0.0290210448
503	0.02896052522
504	0.02887793139
505	0.02880090953
506	0.02876778579
507	0.02871723509
508	0.02867496769
509	0.0286042923
510	0.02852573228
511	0.02846314183
512	0.02840366755
513	0.02833381944
514	0.02826873606
515	0.02822087343
516	0.02815413736
517	0.02808823012
518	0.02803607533
519	0.02794872192
520	0.0278988301
521	0.02782242248
522	0.02779824427
523	0.02771208015
524	0.02762821437
525	0.0275751787
526	0.02751452651
527	0.02743444383
528	0.02737754737
529	0.02730912936
530	0.02723289231
531	0.02717930292
532	0.02710330598
533	0.02705049599
534	0.02700234177
535	0.02694557795
536	0.02690590812
537	0.02686714868
538	0.02680830803
539	0.02675594549
540	0.02670274216
541	0.02664242421
542	0.02657139589
543	0.02648916804
544	0.02643264182
545	0.02638088393
546	0.02632483781
547	0.02627187729
548	0.02620280256
549	0.02617063529
550	0.02610688475
551	0.0260607342
552	0.02601928983
553	0.02595165654
554	0.02590606528
555	0.02588565549
556	0.02582522804
557	0.02575275236
558	0.02571170533
559	0.02566134591
560	0.02561117109
561	0.02554473781
562	0.0254898545
563	0.02543734805
564	0.02537870094
565	0.02532084096
566	0.02527855501
567	0.02524464747
568	0.02519201601
569	0.02515315507
570	0.02511656341
571	0.0250733982
572	0.02502497856
573	0.02495957575
574	0.02490656184
575	0.02485675048
576	0.0248021451
577	0.02474237577
578	0.02468610782
579	0.02462980011
580	0.02457193254
581	0.02454464196
582	0.02450664618
583	0.02446705827
584	0.02440136947
585	0.02434515812
586	0.02428193611
587	0.02422720535
588	0.02418382506
589	0.02411597206
590	0.02405745794
591	0.02401549716
592	0.02397988583
593	0.0239188469
594	0.02385957541
595	0.02384050685
596	0.02379668479
597	0.02375244489
598	0.0237107492
599	0.02366790596
