iter	Passed	Remaining
404	10148	4886
405	10181	4865
406	10220	4846
407	10240	4819
408	10265	4793
409	10299	4772
410	10314	4743
411	10333	4715
412	10361	4691
413	10398	4671
414	10427	4648
415	10456	4625
416	10493	4604
417	10523	4581
418	10559	4561
419	10584	4536
420	10614	4512
421	10637	4486
422	10673	4466
423	10705	4443
424	10731	4418
425	10767	4397
426	10783	4368
427	10807	4343
428	10822	4314
429	10856	4292
430	10884	4268
431	10905	4241
432	10933	4216
433	10957	4191
434	10981	4165
435	11006	4139
436	11026	4112
437	11049	4086
438	11082	4064
439	11102	4037
440	11137	4015
441	11166	3991
442	11195	3967
443	11223	3943
444	11246	3917
445	11273	3892
446	11293	3865
447	11316	3839
448	11339	3813
449	11359	3786
450	11382	3760
451	11402	3733
452	11418	3705
453	11445	3680
454	11474	3656
455	11506	3633
456	11536	3609
457	11558	3583
458	11576	3556
459	11607	3532
460	11624	3505
461	11648	3479
462	11676	3455
463	11698	3429
464	11718	3402
465	11735	3374
466	11757	3348
467	11788	3324
468	11806	3297
469	11828	3271
470	11846	3244
471	11869	3218
472	11899	3195
473	11921	3169
474	11948	3144
475	11976	3119
476	12005	3095
477	12031	3070
478	12063	3047
479	12089	3022
480	12118	2998
481	12145	2973
482	12170	2948
483	12200	2924
484	12226	2899
485	12262	2876
486	12278	2848
487	12316	2826
488	12335	2800
489	12357	2774
490	12385	2749
491	12413	2724
492	12445	2701
493	12470	2675
494	12499	2651
495	12520	2625
496	12535	2597
497	12551	2570
498	12575	2545
499	12612	2522
500	12646	2499
501	12684	2476
502	12710	2451
503	12738	2426
504	12759	2400
505	12788	2375
506	12803	2348
507	12830	2323
508	12855	2298
509	12888	2274
510	12915	2249
511	12942	2224
512	12963	2198
513	12989	2173
514	13010	2147
515	13025	2120
516	13048	2094
517	13064	2068
518	13097	2044
519	13125	2019
520	13150	1993
521	13178	1969
522	13202	1943
523	13240	1920
524	13270	1895
525	13301	1871
526	13322	1845
527	13347	1820
528	13376	1795
529	13405	1770
530	13436	1746
531	13458	1720
532	13493	1696
533	13519	1670
534	13539	1644
535	13560	1619
536	13576	1592
537	13593	1566
538	13616	1541
539	13637	1515
540	13654	1489
541	13682	1464
542	13717	1440
543	13742	1414
544	13766	1389
545	13790	1363
546	13813	1338
547	13841	1313
548	13873	1288
549	13893	1263
550	13915	1237
551	13949	1212
552	13974	1187
553	14006	1162
554	14044	1138
555	14060	1112
556	14084	1087
557	14114	1062
558	14135	1036
559	14166	1011
560	14203	987
561	14238	962
562	14267	937
563	14295	912
564	14321	887
565	14358	862
566	14388	837
567	14415	812
568	14440	786
569	14462	761
570	14478	735
571	14499	709
572	14528	684
573	14550	659
574	14574	633
575	14608	608
576	14634	583
577	14650	557
578	14685	532
579	14703	507
580	14733	481
581	14753	456
582	14769	430
583	14789	405
584	14822	380
585	14848	354
586	14873	329
587	14896	304
588	14920	278
589	14950	253
590	14970	227
591	14996	202
592	15022	177
593	15043	151
594	15078	126
595	15097	101
596	15125	76
597	15145	50
598	15175	25
599	15205	0
